doc_id,title,year,plot
doc_001,The Dark Knight,2008,"Batman, Lieutenant Jim Gordon and District Attorney Harvey Dent form an alliance to dismantle organized crime in Gotham City. Their efforts are undone by the Joker, an anarchist who plunges the city into chaos and pushes Dent into becoming the vengeful Two-Face."
doc_002,Batman Begins,2005,"After the murder of his parents, Bruce Wayne trains with the League of Shadows, then returns to Gotham and becomes Batman to fight corruption. He confronts Ra's al Ghul and the Scarecrow, who plan to poison the city with a fear toxin."
doc_003,Man of Steel,2013,"Kal-El is sent to Earth as an infant before Krypton's destruction and grows up as Clark Kent. When General Zod arrives to terraform Earth and rebuild Krypton, Clark embraces his identity as Superman to stop him."
doc_004,Wonder Woman,2017,"Diana, princess of the Amazons, leaves her hidden island of Themyscira with pilot Steve Trevor during World War I. Believing the war is the work of Ares, she journeys to the front line and discovers the full scope of her powers."
doc_005,Iron Man,2008,"Weapons manufacturer Tony Stark is captured in Afghanistan and builds a powered suit of armor to escape. Back home he refines the technology and becomes Iron Man, turning against his business partner Obadiah Stane."
doc_006,The Avengers,2012,"Nick Fury assembles Iron Man, Captain America, Thor, the Hulk, Black Widow and Hawkeye to stop Loki, who uses the Tesseract to open a portal over New York for an alien invasion by the Chitauri."
doc_007,Black Panther,2018,"After his father's death, T'Challa returns home to the hidden, technologically advanced African nation of Wakanda to take the throne. His claim is challenged by Erik Killmonger, who wants to use Wakandan weapons to arm oppressed people worldwide."
doc_008,Spider-Man,2002,"High school student Peter Parker is bitten by a genetically altered spider and gains superhuman abilities. After his uncle is killed by a robber he let escape, Peter becomes Spider-Man and battles the Green Goblin."
doc_009,Logan,2017,"In 2029, an aging and ailing Logan cares for a frail Professor X near the Mexican border. He is drawn back into action to protect Laura, a young mutant girl created from his DNA, from the men hunting her."
doc_010,Deadpool,2016,"Mercenary Wade Wilson undergoes a rogue experiment that cures his cancer and leaves him disfigured with accelerated healing. As the wisecracking Deadpool he hunts the man who ruined his life."
doc_011,Joker,2019,"Failed stand-up comedian Arthur Fleck, ignored and abused by society in a decaying Gotham City, spirals into violence and madness, eventually adopting the persona that inspires a citywide uprising."
doc_012,Guardians of the Galaxy,2014,"Peter Quill forms an uneasy alliance with Gamora, Rocket, Groot and Drax to keep a powerful orb out of the hands of Ronan the Accuser, who intends to use it to destroy the planet Xandar."
doc_013,Aquaman,2018,"Arthur Curry, the half-human heir to the underwater kingdom of Atlantis, is reluctantly drawn into a conflict when his half-brother Orm tries to unite the seven undersea kingdoms to wage war on the surface world."
doc_014,Captain America: The First Avenger,2011,"During World War II, frail Steve Rogers volunteers for an experimental super-soldier program and becomes Captain America. He leads the fight against HYDRA and its leader, the Red Skull."
doc_015,The Godfather,1972,"The aging patriarch of the Corleone crime family transfers control of his empire to his reluctant youngest son, Michael, who is gradually consumed by the violence and responsibility of the role."
doc_016,The Shawshank Redemption,1994,"Banker Andy Dufresne is sentenced to life in Shawshank prison for the murder of his wife, a crime he did not commit. Over two decades he forms a friendship with fellow inmate Red and quietly plans his escape."
doc_017,Inception,2010,"Dom Cobb, a thief who steals secrets from within dreams, is offered a chance to have his criminal record erased if he can plant an idea in a target's subconscious through a layered dream heist."
